Introdução à Biologia;Bem-vindo à Biologia!;https://pt.khanacademy.org/video/overview-of-biology;Visão geral da Biologia;Visão geral da biologia, o estudo da vida.
Introdução à Biologia;A ciência da Biologia;https://pt.khanacademy.org/video/the-scientific-method;O método científico;Como o método científico é usado para fazer perguntas e testar explicações.
Química da vida;Elementos e átomos;https://www.youtube.com/watch?v=dGD_3ygJJLk;Introdução a bioquímica - Dose Dupla de Biologia. ENEM 2017 ;Aula com dois professores de Biologia sobre Bioquímica.
Química da vida;Elementos e átomos;https://pt.khanacademy.org/video/elements-and-atoms;Elementos e átomos;Como os elementos relacionam-se com os átomos.  O básico sobre como prótons, elétrons e nêutrons formam um átomo.
Química da vida;Elementos e átomos;https://pt.khanacademy.org/video/introduction-to-the-atom;Introdução ao átomo;Aprenda como os átomos são constituídos por prótons, nêutrons e elétrons. Elementos são definidos pelo número atômico, o número de prótons no núcleo. A massa de um átomo é determinada pelo número total de prótons e nêutrons. 
Química da vida;Camadas e orbitais eletrônicos;https://pt.khanacademy.org/video/orbitals;Orbitais;Introdução a orbitais. Relaciona os orbitais de energia às linhas e períodos da tabela periódica.
Química da vida;Camadas e orbitais eletrônicos;https://pt.khanacademy.org/video/more-on-orbitals-and-electron-configuration;Mais sobre configuração de elétrons e orbitais;Como a configuração do elétron se relaciona com os orbitais e a estrutura da tabela periódica.
Química da vida;Camadas e orbitais eletrônicos;https://pt.khanacademy.org/video/valence-electrons-lewis;Elétrons de valência e ligações;Como obter estruturas de Lewis a partir da configuração eletrônica, e qual é o papel dos elétrons de valência na formação de ligações.
Química da vida;Camadas e orbitais eletrônicos;https://pt.khanacademy.org/video/periodic-table-groups;Grupos da tabela periódica;O que é uma família na tabela periódica, e o que os elementos de uma família têm em comum?
Química da vida;Ligações e reações químicas;https://pt.khanacademy.org/video/ionic-covalent-and-metallic-bonds;Ligações iônicas, covalentes e metálicas;Existem três tipos principais de ligações químicas: iônica, covalente e metálica. Ligações iônicas se formam devido à transferência de um elétron de um átomo para outro. Ligações covalentes envolvem o compartilhamento de elétrons entre dois átomos. Ligações metálicas são formadas pela atração entre íons metálicos e elétrons deslocalizados, ou "livres".
Química da vida;Ligações e reações químicas;https://pt.khanacademy.org/video/electronegativity-trends;Eletronegatividade;Definição de eletronegatividade e comparação com afinidade eletrônica. Explicação sobre tendências de grupo e tendências periódicas na eletronegatividade usando raios atômicos. 
Química da vida;Ligações e reações químicas;https://pt.khanacademy.org/video/electronegativity-and-chemical-bonds;Eletronegatividade e ligação;Diferenças de eletronegatividade de ligação usando a escala de Pauling. Classificação das  ligações como covalentes, covalentes polares ou iônicas.
Química da vida;Ligações e reações químicas;https://pt.khanacademy.org/video/intermolecular-forces-and-molecular-bonds;Forças intermoleculares;Diferentes tipos de forças intermoleculares (forças entre moléculas).
Química da vida;Ligações e reações químicas;https://pt.khanacademy.org/video/chemical-reactions-introduction;Introdução às reações químicas;Reagentes e produtos em reações químicas reversíveis e irreversíveis.
Água, ácidos e bases;Ligação de hidrogênio na água;https://pt.khanacademy.org/video/hydrogen-bonding-in-water;Ligação de hidrogênio na água;Ligação de hidrogênio na água.
Água, ácidos e bases;Ligação de hidrogênio na água;https://pt.khanacademy.org/video/water-as-a-solvent;Água como solvente;Água como solvente. Solutos polares. Substâncias hidrofílicas e hidrofóbicas.
Água, ácidos e bases;Coesão e adesão;https://pt.khanacademy.org/video/capillary-action-and-why-we-see-a-meniscus;Ação capilar e por que vemos um menisco;Como a ação capilar e o menisco estão relacionados às forças intermoleculares na água. 
Água, ácidos e bases;Coesão e adesão;https://pt.khanacademy.org/video/surface-tension;Tensão superficial;Tensão superficial na água, e como a tensão superficial está relacionada à ligação de hidrogênio.
Água, ácidos e bases;Temperatura e mudanças de estado da água;https://pt.khanacademy.org/video/lebron-asks-why-does-sweating-cool-you-down;LeBron pergunta: Por que a transpiração nos refresca?;LeBron pergunta a Sal porque a transpiração ajuda o corpo a esfriar.
Água, ácidos e bases;Temperatura e mudanças de estado da água;https://pt.khanacademy.org/video/evaporative-cooling;Resfriamento evaporativo;Resfriamento evaporativo. Por que suar resfria seu corpo?
Água, ácidos e bases;Temperatura e mudanças de estado da água;https://pt.khanacademy.org/video/heat-of-vaporization-of-water-and-ethanol;Calor da vaporização de água e etanol;Calor da vaporização de água e etanol.
Água, ácidos e bases;Temperatura e mudanças de estado da água;https://pt.khanacademy.org/video/specific-heat-of-water;Calor específico da água;Calor específico da água. Caloria como calor específico da água. Como a água modera a temperatura.
Água, ácidos e bases;Temperatura e mudanças de estado da água;https://pt.khanacademy.org/video/liquid-water-denser-than-solid-water-ice;A água no estado líquido é mais densa que no estado sólido (gelo);A água é menos densa na forma de gelo. Por que os lagos não ficam totalmente congelados.
Água, ácidos e bases;Ácidos, bases e pH;https://pt.khanacademy.org/video/autoionization-water;Autoionização da água;Autoionização da água em íons de hidróxido e hidrônio
Água, ácidos e bases;Ácidos, bases e pH;https://pt.khanacademy.org/video/arrhenius-definition-of-acids-and-bases;Definição ácido-base de Arrhenius;Definição ácido-base de Arrhenius
Água, ácidos e bases;Ácidos, bases e pH;https://pt.khanacademy.org/video/bronsted-lowry-definition-of-acids-and-bases;Definição ácido-base de Bronsted-Lowry;Definição ácido-base de Bronsted-Lowry. Bases e ácidos conjugados.
Água, ácidos e bases;Ácidos, bases e pH;https://pt.khanacademy.org/video/introduction-to-definition-of-ph;Definição de pH;Introdução ao pH e à escala de pH. Exemplos de cálculo de pH de água pura, água sanitária e suco de laranja. 
Água, ácidos e bases;Ácidos, bases e pH;https://pt.khanacademy.org/video/buffer-system;Introdução às soluções tampão;Introdução a sistemas tampão, que regulam o pH do sangue.
Propriedades do carbono;Carbono;https://pt.khanacademy.org/video/carbon-as-a-building-block-of-life;Carbono como bloco de construção da vida;Carbono como bloco de construção da vida.
